0,0
300,0
600,0
900,0
1200,0
1500,0
150,259
450,259
750,259
1050,259
1350,259
1650,259
0,518
300,518
600,518
900,518
1200,518
1500,518
150,777
450,777
750,777
1050,777
1350,777
1650,777
0,1036
300,1036
600,1036
900,1036
1200,1036
1500,1036
150,1295
450,1295
750,1295
1050,1295
1350,1295
1650,1295
0,1554
300,1554
600,1554
900,1554
1200,1554
1500,1554
150,1813
450,1813
750,1813
1050,1813
1350,1813
1650,1813
0,2072
300,2072
600,2072
900,2072
1200,2072
1500,2072
